共 405 题
1. [单] 依据配电安规，（ ）及电容器接地前应逐相充分放电。 || 选:避雷器 / 电缆 / 导线 / 变压器 || 答:B
282. [单] 根据营销安规规定，各级营销管理部门针对无法消除的营销服务场所（  ）火灾隐患，应提出解决方案并及时向上级主管部门或当地政府报告。 || 选:重大 / 一般 / 较大 / 特别重大 || 答:A
283. [单] 根据营销安规规定，营销服务场所发生火灾时，以下哪种处理方式错误（  ）。 || 选:突发火灾事故时，应立即根据消防应急预案正确采取紧急隔、停措施，避免因着火而引发的连带事故，缩小事故影响范围 / 参加灭火的人员在灭火时应防止燃烧物发生爆炸及防止被火烧伤或被燃烧物所产生的气体引起中毒、窒息 / 对电气设备灭火时，仅准许专业消防人员进行灭火，电气设备未断电前，禁止人员灭火 / 当火势可能蔓延到其他设备时，应果断采取适当的隔离措施 || 答:C
284. [多] 根据营销安规规定，事故紧急抢修工作，指电气设备发生故障被迫紧急停止运行，需短时间内恢复的（  ）和（  ）的工作。 || 选:检修 / 设备更换 / 抢修 / 排除故障 || 答:CD
285. [多] 根据营销安规规定，为严格落实公司安全管理要求，持续强化营销现场作业管理，严格规范各类工作人员的行为，确保（  ）安全，依据国家有关法律法规、技术标准和公司制度标准，结合营销现场作业实际，制定营销现场作业安全规程。 || 选:电力设施 / 人身 / 电网 / 设备 || 答:BCD
286. [多] 根据营销安规规定，严肃作业人员管控，加强人员资质审核，按要求持证上岗；加强进场作业人员安全培训和考试，确保每一名作业人员（  ）和（  ）满足安全作业条件。 || 选:安全水平 / 安全意识 / 职业道德 / 安全技能 || 答:BD
287. [多] 根据营销安规规定，特种作业人员应按照国家规定的培训大纲，接受与本工种相适应的、专门的（  ）培训，经考核合格取得《特种作业操作证》，并经本单位（  ）批准后，方可参加相应的作业。 || 选:岗位知识 / 安全技术 / 书面 / 电话 || 答:BC
288. [多] 根据营销安规规定，经常有人工作的场所及施工车辆上宜配备急救箱，存放急救用品，并应指定专人经常（  ）。 || 选:检查 / 清理 / 补充 / 更换 || 答:ACD
289. [多] 根据营销安规规定，现场作业过程中，要防止误入高压带电区域，（  ），作业人员严禁擅自穿、跨越安全围栏或超越安全警戒线，（  ）单独移开或越过遮栏进行工作。 || 选:无论设备是否带电 / 设备停电前 / 可以 / 不得 || 答:AD
290. [多] 根据营销安规规定，作业人员有权拒绝违章指挥和强令冒险作业；在发现直接危及（  ）、（  ）和（  ）安全的紧急情况时，有权停止作业或者在采取可能的紧急措施后撤离作业场所，并立即报告。 || 选:人身 / 电网 / 设备 / 消防 || 答:ABC
291. [多] 根据营销安规规定，以下属于风险较高的营销现场作业的有（  ）。 || 选:变电站内作业 / 电厂内作业 / 高压部位需停电并做安全措施的作业 / 低压居民表计换装作业 || 答:ABC
292. [多] 根据营销安规规定，营销作业现场工作票的有效期，以批准的（  ）为限。批准的计划工作时间为调度控制中心或（  ）批准的开工至完工时间。 || 选:计划停电时间 / 计划工作时间 / 客户 / 设备运维管理单位 || 答:BD
293. [多] 根据营销安规规定，根据现场勘察结果，对危险性、复杂性和困难程度较大的作业项目，应编制（  ），经本单位批准后执行。 || 选:组织措施 / 技术措施 / 安全措施 / 危险点预控措施 || 答:ABC
294. [多] 根据营销安规规定，营销作业现场工作许可时，工作票一份由工作负责人收执，其余留存工作票签发人或（  ）处。工作期间，工作票应始终保留在（  ）手中。 || 选:工作许可人 / 工作负责人 / 公司领导 / 部门领导 || 答:AB
295. [多] 根据营销安规规定，变更（  ）或增加工作任务，若工作票签发人和（  ）无法当面办理，应通过电话联系，并在工作票登记簿和工作票上注明。 || 选:工作负责人 / 小组负责人 / 工作许可人 / 现场监护人 || 答:AC
296. [多] 根据营销安规规定，工作前，工作负责人对工作班成员进行（  ），并确认每个工作班成员都已签名。 || 选:工作任务交底 / 安全措施交底 / 危险点告知 / 现场电气设备接线情况告知 || 答:ABC
297. [多] 根据营销安规规定，工作票签发人、工作负责人对有（  ）的工作，应增设专责监护人，并确定其监护的人员和范围。 || 选:触电危险 / 很大量 / 检修（施工）复杂容易发生事故 / 涂写杆号 || 答:AC
298. [多] 根据营销安规规定，在原工作票的停电及安全措施范围内增加工作任务时，应由工作负责人征得（  ）同意，并在（  ）上增填工作项目。 || 选:工作票签发人 / 工作许可人 / 工作票 / 工作记录 || 答:ABC
299. [多] 根据营销安规规定，营销作业现场工作许可人应具备的基本条件有（  ）。 || 选:熟悉工作范围内接线方式 / 熟悉工作范围内的设备情况 / 熟悉《营销安规》 / 经相关单位批准的人员担任，名单应公布 || 答:ABCD
300. [多] 根据营销安规规定，营销作业现场下列选项中属于工作负责人的安全责任有（  ）。 || 选:确认工作票上所列安全措施正确完备 / 检查工作票所列安全措施是否正确完备，是否符合现场实际条件，必要时予以补充完善 / 监督工作班成员遵守本规程、正确使用劳动防护用品和安全工器具以及执行现场安全措施 / 监督被监护人员遵守本规程和执行现场安全措施，及时纠正被监护人员的不安全行为 || 答:BC
301. [多] 根据营销安规规定，开展不需要停电，不存在接触带电部位风险的抄表催费、客户现场安全检查、涂改编号等工作时，可不使用工作票或现场作业工作卡，但应以其他形式记录相应的操作和工作等内容。其他记录形式包括（  ）等。 || 选:作业指导书（卡） / 派工单 / 任务单 / 工作记录 || 答:ABCD
302. [多] 根据营销安规规定，专责监护人应由具有相关专业工作经验，熟悉工作范围内的（  ）和（  ）的人员担任。 || 选:设备情况 / 带电部位 / 调度规程 / 营销现场作业安全工作规程 || 答:AD
303. [多] 根据营销安规规定，通过传真送达的工作票，其工作许可手续应待（  ）送到后履行。第二种工作票、低压工作票可在进行工作的（  ）交给工作许可人。 || 选:正式操作票 / 正式工作票 / 当天预先 / 同时 || 答:BC
304. [多] 根据营销安规规定，下面器具中试验周期为半年的是（  ）。 || 选:绝缘靴 / 绝缘手套 / 低压验电器 / 绝缘胶垫 || 答:AB
305. [多] 根据营销安规规定，装设同杆（塔）架设的多层电力线路接地线，应先装设低压、后装设高压，先装设下层、后装设上层，先装设（  ）、后装设（  ）。拆除接地线的顺序与此相反。 || 选:近侧 / 远侧 / 顶端 / 尾端 || 答:AB
306. [多] 根据营销安规规定，营销现场实施停电作业，室外（  ）和（  ）验电宜使用声光验电器。（  ）和（  ）验电应有人监护。 || 选:低压配电线路 / 设备 / 架空配电线路 / 高压配电设备 || 答:ABCD
307. [多] 根据营销安规规定，低压线路和设备停电后，（  ）或（  ）等工作前，应在与（  ）或（  ）直接相连的可验电部位验电。 || 选:检修 / 装表接电 / 停电检修部位 / 表计电气上 || 答:ABCD
308. [多] 根据营销安规规定，禁止作业人员擅自（  ）遮栏（围栏）、标示牌。因工作原因需短时移动或拆除遮栏（围栏）、标示牌时，应有人监护。完毕后应立即恢复。 || 选:搭建 / 损坏 / 移动 / 拆除 || 答:CD
309. [多] 根据营销安规规定，二次工作安全措施票的工作内容及安全措施内容由工作负责人（  ），由技术人员或班长（  ）。 || 选:填写 / 审核 / 签发 / 许可 || 答:ABC
310. [多] 根据营销安规规定，校验电能表、电压互感器、电流互感器的作业人员，不准对运用中的（  ）进行操作。 || 选:断路器（开关） / 保护压板 / 非计量设备 / 信号系统 || 答:BCD
311. [多] 根据营销安规规定，互感器现场校验工作不得少于三人。校验负责人应由有经验的人员担任，开始试验前，校验负责人应（  ）。 || 选:向全体试验人员详细布置试验中的安全注意事项 / 交代邻近间隔的带电部位 / 告知工作中的危险点 / 以及其他安全注意事项 || 答:ABD
312. [多] 根据营销安规规定，检修电源的接拆必有（  ）。检修电源合闸后，应悬挂“禁止分闸，有人工作！”的标识牌。 || 选:两人进行 / 一人接拆线 / 一人监护 / 两人一起操作 || 答:ABC
313. [多] 根据营销安规规定，加压前应认真检查校验接线，使用规范的短路线，表计（  ）及仪表的开始状态均正确无误，经确认后，通知所有人员离开被校设备，并取得校验负责人许可，方可加压。加压过程中应有人监护并呼唱。互感器现场校验作业人员在全部加压过程中，应精力集中，随时警戒异常现象发生，操作人应站在绝缘垫上。 || 选:倍率 / 量程 / 调压器零位 / 电压 || 答:ABC
314. [多] 根据营销安规规定，校验结束后注意事项（  ）。 || 选:校验人员应拆除自装的接地短路线 / 并对被校设备进行检查，恢复校验前的状态 / 经试验负责人复查后，进行现场清理 / 被校设备两端不在同一地点时，另一端还应派人看守 || 答:ABC
315. [多] 根据营销安规规定，使用钳形电流表时的注意事项有哪些（  ）。 || 选:使用钳形电流表时，应保证钳形电流表的电压等级与被测设备相符 / 测量时戴绝缘手套，穿绝缘鞋（靴）或站在绝缘垫上，不得触及其他设备，以防短路或接地 / 钳形电流表不用时可以不用打到0档位 / 观测表计时，要特别注意保持头部与带电部分的安全距离 || 答:ABD
316. [多] 根据营销安规规定，箱式变电站停电工作前，应断开所有可能送电到箱式变电站的线路的（  ），验电、接地后，方可进行箱式变电站的高压设备工作。 || 选:断路器（开关） / 负荷开关 / 隔离开关（刀闸） / 熔断器 || 答:ABCD
317. [多] 根据营销安规规定，禁止作业人员穿越（  ）或（  ）的绝缘导线进行工作。 || 选:未采取绝缘遮蔽措施 / 未停电接地 / 未采取隔离措施 / 未采取间隔措施 || 答:BC
318. [多] 根据营销安规规定，使用电压互感器进行工作时，应先将（  ）所有接线接好，然后用绝缘工具将电压互感器接到（  ）。工作时应戴（  ）和（  ），站在绝缘垫上，并应有专人监护。 || 选:低压侧 / 高压侧 / 手套 / 护目眼镜 || 答:ABCD
319. [多] 根据营销安规规定，低压电气工作前，应用低压验电器或测电笔检验（  ）是否有电。 || 选:检修设备 / 金属外壳 / 相邻设备 / 所有可能来电的各端 || 答:ABC
320. [多] 根据营销安规规定，在低压用电设备上（  ）工作前，应（  ）确无电压，方可工作。 || 选:停电 / 明确 / 验明 / 检验 || 答:AC
321. [多] 根据营销安规规定，低压带电作业应由经过（  ）、考试（  ）的人员担任，作业现场至少要有两人。 || 选:审核 / 培训 / 合格 / 不合格 || 答:BC
322. [多] 根据营销安规规定，低压带电作业时，人员要站在干燥的（  ）上操作，人体对地必须保持可靠（  ）。 || 选:绝缘体 / 绝缘物体 / 绝缘物 / 绝缘 || 答:CD
323. [多] 根据营销安规规定，作业现场应将使用的带电作业工具放置在防潮的（  ）上，防止（  ）在使用中（  ）和（  ）。 || 选:帆布或绝缘垫 / 绝缘工具 / 脏污 / 受潮 || 答:ABCD
324. [多] 根据营销安规规定，低压带电作业过程中，工作负责人发现或获知相关设备发生故障，应立即（  ）工作，撤离人员，恢复设备正常状况，或采取临时安全措施，并立即（  ）上级。 || 选:停止 / 限制 / 报告 / 撤离 || 答:AC
325. [多] 根据营销安规规定，低压电气设备中的（  ）设备应易于操作，并有明显的开断（  ）。 || 选:开断 / 保护 / 指示 / 标志 || 答:AC
326. [多] 根据营销安规规定，在使用电动工具的工作中，（  ）应立即切断电源。 || 选:因故离开工作场所 / 暂时停止工作 / 遇到临时停电时 / 换人工作时 || 答:ABC
327. [多] 根据营销安规规定，绝缘隔板和绝缘罩应存放在（  ）。使用前应擦净灰尘。若表面有轻度擦伤，应涂绝缘漆处理。 || 选:室内干燥的柜内 / 离地面200mm以上的专用柜内 / 离地面100mm以上的架上 / 离地面200mm以上的架上 || 答:ABD
328. [多] 根据营销安规规定，安全工器具经试验合格后，应在不妨碍绝缘性能且醒目的部位牢固粘贴（  ）或可追溯的唯一（  ），并出具检测报告。 || 选:合格证 / 检测证 / 标识 / 标牌 || 答:AC
329. [多] 根据营销安规规定，高处作业区周围的孔洞、沟道等应设（  ）、（  ）或（  ）并有固定其位置的措施。同时，应设置安全标志，夜间还应设红灯示警。 || 选:盖板 / 安全网 / 警示标志 / 遮栏（围栏） || 答:ABD
330. [多] 根据营销安规规定，高处作业周边，应有（  ）防护措施。 || 选:除有关人员外，他人不得在工作地点的下面通行或逗留 / 需要设置警示围栏，一律不得进入作业半径3米内 / 需要设置警示围栏，一律不得进入作业半径5米内 / 工作地点下面应有遮栏（围栏）或装设其他保护装置 || 答:AD
331. [多] 根据营销安规规定，在（  ）等场所使用的安全带或安全绳应有隔热防磨套。 || 选:电焊作业 / 火花 / 熔融源 / 潮湿 || 答:ABC
332. [多] 根据营销安规规定，（  ）等处不得存放易燃、易爆物品。 || 选:充换电站 / 计量库房 / 实验室 / 营业厅 || 答:ABCD
333. [判] 根据营销安规规定，在未办理工作票终结手续以前，任何人不得将停电设备合闸送电。（  ） || 选:正确 / 错误 || 答:正确
334. [判] 根据营销安规规定，作业人员应了解机具（电动工具）及安全工器具相关性能，熟悉其使用方法。（  ） || 选:正确 / 错误 || 答:正确
335. [判] 根据营销安规规定，低压电气工作时应穿绝缘鞋和全棉长袖工作服，并戴低压作业防护手套、安全帽，使用绝缘工具。（  ） || 选:正确 / 错误 || 答:正确
336. [判] 根据营销安规规定，连接电动机械及电动工具的电气回路应单独设开关或插座，并装设剩余电流动作保护装置，金属外壳应接地;电动工具应做到“一闸一保护”。（  ） || 选:正确 / 错误 || 答:错误
337. [判] 根据营销安规规定，在一般作业场所（包括金属构架上），应使用II类电动工具（带绝缘外壳的工具）。（  ） || 选:正确 / 错误 || 答:正确
338. [判] 根据营销安规规定，安全工器具使用前，应检查确认绝缘部分无裂纹、无老化、无绝缘层脱落、无严重伤痕等现象以及固定连接部分无松动、无锈蚀、无断裂等现象。对其绝缘部分的外观有疑问时应经绝缘试验合格后方可使用。（  ） || 选:正确 / 错误 || 答:正确
339. [判] 根据营销安规规定，安全帽使用前，应检查帽壳、帽衬、帽箍、顶衬、下颏带等附件完好无损。（  ） || 选:正确 / 错误 || 答:正确
340. [判] 根据营销安规规定，现场带电安放绝缘隔板及绝缘罩，应戴绝缘手套、使用绝缘操作杆，必要时可用绝缘绳索将其固定。（  ） || 选:正确 / 错误 || 答:正确
341. [判] 根据营销安规规定，可以使用金属部分变形和绳（带）损伤的脚扣和登高板。（  ） || 选:正确 / 错误 || 答:错误
342. [判] 根据营销安规规定，凡在坠落高度基准面2m及以上的高处进行的作业，都应视作高处作业。（  ） || 选:正确 / 错误 || 答:正确
343. [判] 根据营销安规规定，高处作业区周围的孔洞、沟道等应设盖板、安全网或遮栏（围栏），位置无需固定。（  ） || 选:正确 / 错误 || 答:错误
344. [判] 根据营销安规规定，低温或高温环境下的高处作业，应采取保暖或防暑降温措施，作业时间不宜超过2小时。（  ） || 选:正确 / 错误 || 答:错误
345. [判] 根据营销安规规定，特殊情况下，确需在恶劣天气进行露天高处抢修时，应制定相应的安全措施及技术措施，经本单位批准后方可进行。（  ） || 选:正确 / 错误 || 答:错误
346. [判] 根据营销安规规定，有人员在梯子上工作时，梯子应有人扶持和监护。（  ） || 选:正确 / 错误 || 答:正确
347. [判] 根据营销安规规定，作业前，应进行围杆带和后备绳的试拉，无明显裂纹方可继续使用。（  ） || 选:正确 / 错误 || 答:错误
348. [判] 根据营销安规规定，禁止在具有火灾、爆炸危险的场所使用明火；因特殊情况需要进行电、气焊等明火作业的，应严格按照《国家电网公司电力安全工作规程》有关规定执行。可以采用不动火的方法替代，如果能够达到同样效果时，宜采用替代方法处理。（  ） || 选:正确 / 错误 || 答:正确
349. [判] 根据营销安规规定，营销现场梯子应坚固完整，有防滑措施，有异常时及时送检。（  ） || 选:正确 / 错误 || 答:错误
350. [判] 根据营销安规规定，营销服务场所消防栓、灭火器材被遮挡影响使用或者被挪作他用，属于违反消防安全规定的情况。（  ） || 选:正确 / 错误 || 答:正确
351. [判] 根据营销安规规定，营销服务场所应当建立健全营销服务场所消防档案，按季度进行周期性更新。（  ） || 选:正确 / 错误 || 答:错误
352. [判] 根据营销安规规定，为严格落实公司安全管理要求，持续强化营销现场作业管理，严格规范各类工作人员的行为，确保人身、电网和设备安全，依据国家有关法律法规、技术标准和公司制度标准，结合营销现场作业实际，制定营销现场作业安全规程。（  ） || 选:正确 / 错误 || 答:正确
353. [判] 根据营销安规规定，营销服务场所应按照灭火和应急疏散预案，不定期组织消防演练，并根据演练对预案进行评估，不断完善。（  ） || 选:正确 / 错误 || 答:错误
354. [判] 根据营销安规规定，突发火灾事故时，应立即根据消防应急预案正确采取紧急疏散措施，避免因着火而引发的连带事故，缩小事故影响范围。（  ） || 选:正确 / 错误 || 答:错误
355. [判] 根据营销安规规定，营销服务场所发生火灾后，事故单位应立即上报本单位一把手，酌情汇报上级部门。（  ） || 选:正确 / 错误 || 答:错误
356. [判] 根据营销安规规定，配电作业现场是在运用中的20kV以上发电、变电设备以及相关场所进行工作的作业现场。（  ） || 选:正确 / 错误 || 答:错误
357. [判] 根据营销安规规定，在试验和推广新技术、新工艺、新设备、新材料的同时，应制定相应的安全措施，经本单位分管生产的领导（总工程师）批准后执行。（  ） || 选:正确 / 错误 || 答:错误
358. [判] 根据营销安规规定，在配电作业现场进行营销工作，需要将高压线路、设备停电或做安全措施者须填写配电第一种工作票。（  ） || 选:正确 / 错误 || 答:正确
359. [判] 根据营销安规规定，从事营销现场作业的所有人员应遵守并严格执行《国家电网公司电力安全工作规程（配电部分）》。（  ） || 选:正确 / 错误 || 答:错误
360. [判] 根据营销安规规定，作业人员接受相应的安全生产知识教育和岗位技能培训，掌握营销现场作业必备的电气知识和专业技能，并按工作性质，熟悉《营销现场作业安全工作规程》的相关部分，经领导批准后上岗。（  ） || 选:正确 / 错误 || 答:错误
361. [判] 根据营销安规规定，营销作业现场电网侧营销现场作业，工作票由设备运维管理单位签发，也可由经设备运维管理单位审核合格且经批准的检修（施工）单位签发。（  ） || 选:正确 / 错误 || 答:正确
362. [判] 根据营销安规规定，新参加电气工作的人员、实习人员和临时参加劳动的人员（管理人员非全日制用工等），应经过安全生产知识教育后，方可下现场单独工作。（  ） || 选:正确 / 错误 || 答:错误
363. [判] 根据营销安规规定，营销作业现场根据现场勘察结果，对危险性、复杂性和困难程度较大的作业项目，应编制组织措施、技术措施、安全措施，经上级政府主管部门批准后执行。（  ） || 选:正确 / 错误 || 答:错误
364. [判] 根据营销安规规定，禁止越过遮栏（围栏）。（  ） || 选:正确 / 错误 || 答:正确
365. [判] 根据营销安规规定，在进行营销现场作业时，对于作业安全风险等级在三级风险及以上的营销现场作业，应执行关键风险点管控。（  ） || 选:正确 / 错误 || 答:正确
366. [判] 根据营销安规规定，在进行营销现场作业时，工作中，遇雷、雨、大风等情况威胁到工作人员的安全时，工作负责人或专责监护人应下令停止工作。（  ） || 选:正确 / 错误 || 答:正确
367. [判] 根据营销安规规定，工作完工接地线拆除后，任何人不得再在设备上工作。（  ） || 选:正确 / 错误 || 答:正确
368. [判] 根据营销安规规定，在进行营销现场作业时，执行工作票“双许可”的工作，应由双方许可人均办理工作终结手续后，方可视为工作终结。（  ） || 选:正确 / 错误 || 答:正确
369. [判] 根据营销安规规定，工作终结报告应按以下方式进行：1.当面报告；2.电话报告，并经复诵无误。（  ） || 选:正确 / 错误 || 答:正确
370. [判] 根据营销安规规定，二次系统上的工作即在电能计量装置、采集终端等设备上，进行巡视、装拆、负荷测试、压降测试、校验、调试等工作。（  ） || 选:正确 / 错误 || 答:正确
371. [判] 根据营销安规规定，在全部或部分带电的运行屏（柜）上进行工作时，应将检修设备与运行设备前后以明显的标志隔开。（  ） || 选:正确 / 错误 || 答:正确
372. [判] 根据营销安规规定，在进行营销现场作业时，工作票票面上的时间、工作地点、线路名称、设备双重名称（即设备名称和编号）、动词等关键字允许涂改。（  ） || 选:正确 / 错误 || 答:错误
373. [判] 根据营销安规规定，现场办理工作许可手续前，工作许可人应与工作票签发人核对线路名称、设备双重名称，检查核对现场安全措施，指明保留带电部位。（  ） || 选:正确 / 错误 || 答:错误
374. [判] 根据营销安规规定，工作负责人、工作许可人任何一方可以变更运行接线方式和安全措施，及时履行报备手续，无需取得对方同意，但必须及时恢复。（  ） || 选:正确 / 错误 || 答:错误
375. [判] 根据营销安规规定，营销作业现场工作班中途新加入的工作班成员，应由工作负责人、专责监护人对其进行安全交底并履行告知手续。（  ） || 选:正确 / 错误 || 答:错误
376. [判] 根据营销安规规定，非金属外壳的仪器，应与地绝缘，金属外壳的仪器和变压器外壳应接地。（  ） || 选:正确 / 错误 || 答:正确
377. [判] 根据营销安规规定，在高压回路上测量时，禁止用导线从钳形电流表另接表计测量。（  ） || 选:正确 / 错误 || 答:正确
378. [判] 根据营销安规规定，钳形电流表应保存在干燥的室内，使用前要擦拭干净。（  ） || 选:正确 / 错误 || 答:正确
379. [判] 根据营销安规规定，若由于设备原因，接地刀闸与检修设备之间连有断路器（开关），在接地刀闸和断路器（开关）合上后，应有保证断路器（开关）不会分闸的措施。（  ） || 选:正确 / 错误 || 答:正确
380. [判] 根据营销安规规定，多小组工作，工作负责人应在得到主要小组负责人工作结束的汇报后，方可与工作许可人办理工作终结手续。（  ） || 选:正确 / 错误 || 答:错误
381. [判] 根据营销安规规定，计量二次回路通电或耐压试验前，应通知运维人员和其他有关人员，并派人到现场看守，检查二次回路及一次设备上确无人工作后，方可加压。电压互感器的二次回路通电试验时，为防止由二次侧向一次侧反充电，除应将二次回路断开外，还应取下电压互感器高压熔断器或断开电压互感器一次刀闸。（  ） || 选:正确 / 错误 || 答:正确
382. [判] 根据营销安规规定，在高压设备电能表、采集终端等及其二次回路上工作需将高压设备停电或做安全措施者，应填用变电第一种工作票。（  ） || 选:正确 / 错误 || 答:正确
383. [判] 根据营销安规规定，在低压验电前应先在低压有电部位上试验，以检验验电器或测电笔良好。（  ） || 选:正确 / 错误 || 答:错误
384. [判] 根据营销安规规定，装设的接地线应接触良好、连接固定。（  ） || 选:正确 / 错误 || 答:错误
385. [判] 根据营销安规规定，营销作业人员在现场工作过程中，凡遇到异常情况（如因二次回路短路、开路等情况引起相关设备误动作），不论与本身工作是否有关，应立即停止工作，保持现状，待查明原因，确定与本工作无关时方可继续工作。（  ） || 选:正确 / 错误 || 答:正确
386. [判] 根据营销安规规定，个人保安线应在杆塔上接触或接近导线的作业开始后挂接，作业结束脱离导线后拆除。（  ） || 选:正确 / 错误 || 答:错误
387. [判] 根据营销安规规定，高压试验与测量工作，为了防止误合刀闸，可在刀刃上加绝缘罩。（  ） || 选:正确 / 错误 || 答:正确
388. [判] 根据营销安规规定，部分停电的工作，小于表6-1规定距离以内的未停电设备，应装设临时遮栏，临时遮栏可用坚韧铁质材料制成，装设应牢固，并悬挂“止步，高压危险！”标识牌。（  ） || 选:正确 / 错误 || 答:错误
389. [判] 根据营销安规规定，高压试验与测量工作，现场校验作业人员在全部加压过程中，加压过程中应有人监护并呼唱。（  ） || 选:正确 / 错误 || 答:正确
390. [判] 根据营销安规规定，高压引线截面应满足正常试验电流和击穿后瞬时电流要求，不得使用保险丝作为高压引线和短接线。（  ） || 选:正确 / 错误 || 答:正确
391. [判] 根据营销安规规定，运维人员在高压回路上使用钳形电流表的测量工作，应由两人进行。（  ） || 选:正确 / 错误 || 答:正确
392. [判] 根据营销安规规定，配电设备接地电阻不合格时，应戴绝缘手套方可接触箱体。（  ） || 选:正确 / 错误 || 答:正确
393. [判] 根据营销安规规定，配电设备应有防误闭锁装置，防误闭锁装置不准随意退出运行。（  ） || 选:正确 / 错误 || 答:正确
394. [判] 根据营销安规规定，安全工器具宜存放在温度为-15℃～+35℃、相对湿度为80%以下、干燥通风的安全工器具室内。（  ） || 选:正确 / 错误 || 答:正确
395. [判] 根据营销安规规定，成套接地线宜存放在专用架上，架上的编号与接地线的编号应一致。（  ） || 选:正确 / 错误 || 答:正确
396. [判] 根据营销安规规定，箱式变电站工作，变压器高压侧短路接地、低压侧短路接地或采取绝缘遮蔽措施后，方可进入变压器室工作。（  ） || 选:正确 / 错误 || 答:正确
397. [判] 根据营销安规规定，对于连接电流互感器或电压互感器二次绕组并装在屏柜上的电能计量装置上的工作，可以不停用一次高压设备或不需做安全措施者，应填用配电第二种工作票。（  ） || 选:正确 / 错误 || 答:错误
398. [判] 根据营销安规规定，在屋顶及其他危险的边沿工作，临空一面应装设安全网或防护栏杆，否则，作业人员应使用安全带。（  ） || 选:正确 / 错误 || 答:正确
399. [判] 根据营销安规规定，使用单梯工作时，梯与地面的斜角度约为60°。（  ） || 选:正确 / 错误 || 答:正确
400. [判] 根据营销安规规定，消防设施、器材应建立台帐，定期检查，记入相关记录。（  ） || 选:正确 / 错误 || 答:正确
401. [判] 根据营销安规规定，除使用特殊仪器外，所有使用携带型仪器的测量工作，均应在电流互感器和电压互感器的一次侧进行。（  ） || 选:正确 / 错误 || 答:错误
402. [判] 根据营销安规规定，在供用电合同中应明确供用电双方应承担的消防安全责任。（  ） || 选:正确 / 错误 || 答:正确
403. [判] 营销作业人员在现场工作过程中，如遇到异常情况（如因二次回路短路、开路等情况引起相关设备误动作），应按照《国家电网有限公司营销现场作业安全工作规程（试行）》第8.2节相关要求执行。（  ） || 选:正确 / 错误 || 答:正确
404. [判] 根据营销安规规定，营销服务场所应制定灭火和应急疏散预案，预案应当包括职责分工，例如：灭火行动、通信联络、疏散引导、安全救护等。（  ） || 选:正确 / 错误 || 答:正确
405. [判] 根据营销安规规定，智能采集设备安装宜停电进行，若不停电进行，应戴护目镜，并保持对地绝缘。在高压配电设备上工作时，应有防止误动的安全措施。（  ） || 选:正确 / 错误 || 答:正确
